Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
1; 1; 43; 0; 0; 0; 0; -0; 0
1; 2; 42; 0; 0; 0; 0; -0; 0
1; 3; 36; 0; 0; 0; 0; -0; 0
1; 4; 46; 0; 0; 0; 0; -0; 0
1; 5; 44; 0; 0; 0; 0; -0; 0
1; 6; 46; 0; 0; 0; 0; -0; 0
1; 7; 45; 0; 0; 0; 0; -0; 0
1; 8; 49; 0; 0; 0; 0; -0; 0
1; 9; 49; 0; 0; 0; 0; -0; 0
1; 10; 48; -0.117669; -0.151707; 0.501744; 145.123; 56.5911; 170.717
1; 11; 36; 0; 0; 0; 0; -0; 0
1; 12; 41; 0; 0; 0; 0; -0; 0
1; 13; 43; 0; 0; 0; 0; -0; 0
1; 14; 52; 0; 0; 0; 0; -0; 0
1; 15; 41; 0; 0; 0; 0; -0; 0
1; 16; 55; 0; 0; 0; 0; -0; 0
1; 17; 49; 0; 0; 0; 0; -0; 0
1; 18; 34; 0; 0; 0; 0; -0; 0
1; 19; 47; 0; 0; 0; 0; -0; 0
1; 20; 41; 0; 0; 0; 0; -0; 0
1; Median; 45; 0; 0; 0; 0; -0; 0
1; Mean; 44.35; -0.00588343; -0.00758534; 0.0250872; 8.53586; 2.82956; 7.25614
1; Range; 21; 0.117669; 0.151707; 0.501744; 170.717; 56.5911; 145.123
1; Stdev; 5.25619; 0.0256453; 0.0330637; 0.109353; 37.2069; 12.3337; 31.6288
2; 1; 54; 0; 0; 0; 0; -0; 0
2; 2; 45; 0; 0; 0; 0; -0; 0
2; 3; 49; 0; 0; 0; 0; -0; 0
2; 4; 52; 0; 0; 0; 0; -0; 0
2; 5; 38; 0; 0; 0; 0; -0; 0
2; 6; 43; -0.197236; -0.0320599; 0.22392; 146.869; -169.445; 126.216
2; 7; 33; 0; 0; 0; 0; -0; 0
2; 8; 43; 0; 0; 0; 0; -0; 0
2; 9; 45; 0; 0; 0; 0; -0; 0
2; 10; 41; 0; 0; 0; 0; -0; 0
2; 11; 48; 0; 0; 0; 0; -0; 0
2; 12; 47; 0; 0; 0; 0; -0; 0
2; 13; 50; 0; 0; 0; 0; -0; 0
2; 14; 50; 0; 0; 0; 0; -0; 0
2; 15; 52; 0; 0; 0; 0; -0; 0
2; 16; 42; 0; 0; 0; 0; -0; 0
2; 17; 36; 0; 0; 0; 0; -0; 0
2; 18; 36; 0; 0; 0; 0; -0; 0
2; 19; 36; 0; 0; 0; 0; -0; 0
2; 20; 43; 0; 0; 0; 0; -0; 0
2; Median; 45; 0; 0; 0; 0; -0; 0
2; Mean; 44.15; -0.00986178; -0.00160299; 0.011196; 6.31078; -8.47223; 7.34347
2; Range; 21; 0.197236; 0.0320599; 0.22392; 126.216; 169.445; 146.869
2; Stdev; 5.98561; 0.0429865; 0.00698728; 0.0488022; 27.5081; 36.9296; 32.0094
3; 1; 54; 0; 0; 0; 0; -0; 0
3; 2; 55; 0; 0; 0; 0; -0; 0
3; 3; 49; 0; 0; 0; 0; -0; 0
